Entrez_Gene_Id	barcode_full	expression	gene	barcode
100169752	TCGA-3C-AAAU-01A	0	TEX36-AS1	TCGA-3C-AAAU
100169752	TCGA-3C-AALI-01A	0	TEX36-AS1	TCGA-3C-AALI
100169752	TCGA-3C-AALJ-01A	1	TEX36-AS1	TCGA-3C-AALJ
100169752	TCGA-3C-AALK-01A	0	TEX36-AS1	TCGA-3C-AALK
100169752	TCGA-4H-AAAK-01A	0	TEX36-AS1	TCGA-4H-AAAK
100169752	TCGA-5L-AAT0-01A	0	TEX36-AS1	TCGA-5L-AAT0
100169752	TCGA-5L-AAT1-01A	0	TEX36-AS1	TCGA-5L-AAT1
100169752	TCGA-5T-A9QA-01A	0	TEX36-AS1	TCGA-5T-A9QA
100169752	TCGA-A1-A0SB-01A	0	TEX36-AS1	TCGA-A1-A0SB
100169752	TCGA-A1-A0SD-01A	0	TEX36-AS1	TCGA-A1-A0SD
100169752	TCGA-A1-A0SE-01A	1	TEX36-AS1	TCGA-A1-A0SE
100169752	TCGA-A1-A0SF-01A	2	TEX36-AS1	TCGA-A1-A0SF
100169752	TCGA-A1-A0SG-01A	0	TEX36-AS1	TCGA-A1-A0SG
100169752	TCGA-A1-A0SH-01A	0	TEX36-AS1	TCGA-A1-A0SH
100169752	TCGA-A1-A0SI-01A	0	TEX36-AS1	TCGA-A1-A0SI
100169752	TCGA-A1-A0SJ-01A	0	TEX36-AS1	TCGA-A1-A0SJ
100169752	TCGA-A1-A0SK-01A	0	TEX36-AS1	TCGA-A1-A0SK
100169752	TCGA-A1-A0SM-01A	1	TEX36-AS1	TCGA-A1-A0SM
100169752	TCGA-A1-A0SN-01A	0	TEX36-AS1	TCGA-A1-A0SN
100169752	TCGA-A1-A0SO-01A	0	TEX36-AS1	TCGA-A1-A0SO
100169752	TCGA-A1-A0SP-01A	0	TEX36-AS1	TCGA-A1-A0SP
100169752	TCGA-A1-A0SQ-01A	0	TEX36-AS1	TCGA-A1-A0SQ
100169752	TCGA-A2-A04N-01A	0	TEX36-AS1	TCGA-A2-A04N
100169752	TCGA-A2-A04P-01A	0	TEX36-AS1	TCGA-A2-A04P
100169752	TCGA-A2-A04Q-01A	0	TEX36-AS1	TCGA-A2-A04Q
100169752	TCGA-A2-A04R-01A	0	TEX36-AS1	TCGA-A2-A04R
100169752	TCGA-A2-A04T-01A	0	TEX36-AS1	TCGA-A2-A04T
100169752	TCGA-A2-A04U-01A	0	TEX36-AS1	TCGA-A2-A04U
100169752	TCGA-A2-A04V-01A	0	TEX36-AS1	TCGA-A2-A04V
100169752	TCGA-A2-A04W-01A	0	TEX36-AS1	TCGA-A2-A04W
100169752	TCGA-A2-A04X-01A	0	TEX36-AS1	TCGA-A2-A04X
100169752	TCGA-A2-A04Y-01A	0	TEX36-AS1	TCGA-A2-A04Y
100169752	TCGA-A2-A0CK-01A	1	TEX36-AS1	TCGA-A2-A0CK
100169752	TCGA-A2-A0CL-01A	0	TEX36-AS1	TCGA-A2-A0CL
100169752	TCGA-A2-A0CM-01A	0	TEX36-AS1	TCGA-A2-A0CM
