Entrez_Gene_Id	barcode_full	expression	gene	barcode
653820	TCGA-2J-AAB1-01A	26	FAM72B	TCGA-2J-AAB1
653820	TCGA-2J-AAB4-01A	50	FAM72B	TCGA-2J-AAB4
653820	TCGA-2J-AAB6-01A	29	FAM72B	TCGA-2J-AAB6
653820	TCGA-2J-AAB8-01A	27	FAM72B	TCGA-2J-AAB8
653820	TCGA-2J-AAB9-01A	13	FAM72B	TCGA-2J-AAB9
653820	TCGA-2J-AABA-01A	16	FAM72B	TCGA-2J-AABA
653820	TCGA-2J-AABE-01A	12	FAM72B	TCGA-2J-AABE
653820	TCGA-2J-AABF-01A	80	FAM72B	TCGA-2J-AABF
653820	TCGA-2J-AABH-01A	25	FAM72B	TCGA-2J-AABH
653820	TCGA-2J-AABI-01A	81	FAM72B	TCGA-2J-AABI
653820	TCGA-2J-AABK-01A	20	FAM72B	TCGA-2J-AABK
653820	TCGA-2J-AABO-01A	20	FAM72B	TCGA-2J-AABO
653820	TCGA-2J-AABP-01A	173	FAM72B	TCGA-2J-AABP
653820	TCGA-2J-AABR-01A	15	FAM72B	TCGA-2J-AABR
653820	TCGA-2J-AABT-01A	16	FAM72B	TCGA-2J-AABT
653820	TCGA-2J-AABU-01A	16	FAM72B	TCGA-2J-AABU
653820	TCGA-2J-AABV-01A	4	FAM72B	TCGA-2J-AABV
653820	TCGA-2L-AAQA-01A	50	FAM72B	TCGA-2L-AAQA
653820	TCGA-2L-AAQE-01A	23	FAM72B	TCGA-2L-AAQE
653820	TCGA-2L-AAQI-01A	42	FAM72B	TCGA-2L-AAQI
653820	TCGA-2L-AAQJ-01A	18	FAM72B	TCGA-2L-AAQJ
653820	TCGA-2L-AAQL-01A	7	FAM72B	TCGA-2L-AAQL
653820	TCGA-2L-AAQM-01A	0	FAM72B	TCGA-2L-AAQM
653820	TCGA-3A-A9I5-01A	17	FAM72B	TCGA-3A-A9I5
653820	TCGA-3A-A9I7-01A	22	FAM72B	TCGA-3A-A9I7
653820	TCGA-3A-A9I9-01A	29	FAM72B	TCGA-3A-A9I9
653820	TCGA-3A-A9IB-01A	48	FAM72B	TCGA-3A-A9IB
653820	TCGA-3A-A9IC-01A	36	FAM72B	TCGA-3A-A9IC
653820	TCGA-3A-A9IH-01A	41	FAM72B	TCGA-3A-A9IH
653820	TCGA-3A-A9IJ-01A	3	FAM72B	TCGA-3A-A9IJ
653820	TCGA-3A-A9IL-01A	5	FAM72B	TCGA-3A-A9IL
653820	TCGA-3A-A9IN-01A	9	FAM72B	TCGA-3A-A9IN
653820	TCGA-3A-A9IO-01A	0	FAM72B	TCGA-3A-A9IO
653820	TCGA-3A-A9IR-01A	1	FAM72B	TCGA-3A-A9IR
653820	TCGA-3A-A9IS-01A	4	FAM72B	TCGA-3A-A9IS
653820	TCGA-3A-A9IU-01A	43	FAM72B	TCGA-3A-A9IU
653820	TCGA-3A-A9IV-01A	21	FAM72B	TCGA-3A-A9IV
653820	TCGA-3A-A9IX-01A	22	FAM72B	TCGA-3A-A9IX
653820	TCGA-3A-A9IZ-01A	62	FAM72B	TCGA-3A-A9IZ
653820	TCGA-3A-A9J0-01A	56	FAM72B	TCGA-3A-A9J0
653820	TCGA-3E-AAAY-01A	23	FAM72B	TCGA-3E-AAAY
653820	TCGA-3E-AAAZ-01A	26	FAM72B	TCGA-3E-AAAZ
653820	TCGA-F2-6879-01A	92	FAM72B	TCGA-F2-6879
653820	TCGA-F2-6880-01A	0	FAM72B	TCGA-F2-6880
653820	TCGA-F2-7273-01A	14	FAM72B	TCGA-F2-7273
653820	TCGA-F2-7276-01A	20	FAM72B	TCGA-F2-7276
653820	TCGA-F2-A44G-01A	29	FAM72B	TCGA-F2-A44G
653820	TCGA-F2-A44H-01A	7	FAM72B	TCGA-F2-A44H
653820	TCGA-F2-A7TX-01A	55	FAM72B	TCGA-F2-A7TX
653820	TCGA-F2-A8YN-01A	27	FAM72B	TCGA-F2-A8YN
653820	TCGA-FB-A4P5-01A	32	FAM72B	TCGA-FB-A4P5
653820	TCGA-FB-A4P6-01A	12	FAM72B	TCGA-FB-A4P6
653820	TCGA-FB-A545-01A	43	FAM72B	TCGA-FB-A545
653820	TCGA-FB-A5VM-01A	67	FAM72B	TCGA-FB-A5VM
653820	TCGA-FB-A78T-01A	35	FAM72B	TCGA-FB-A78T
653820	TCGA-FB-A7DR-01A	43	FAM72B	TCGA-FB-A7DR
653820	TCGA-FB-AAPP-01A	45	FAM72B	TCGA-FB-AAPP
653820	TCGA-FB-AAPQ-01A	21	FAM72B	TCGA-FB-AAPQ
653820	TCGA-FB-AAPS-01A	16	FAM72B	TCGA-FB-AAPS
653820	TCGA-FB-AAPU-01A	31	FAM72B	TCGA-FB-AAPU
653820	TCGA-FB-AAPY-01A	12	FAM72B	TCGA-FB-AAPY
653820	TCGA-FB-AAPZ-01A	24	FAM72B	TCGA-FB-AAPZ
653820	TCGA-FB-AAQ0-01A	27	FAM72B	TCGA-FB-AAQ0
653820	TCGA-FB-AAQ1-01A	61	FAM72B	TCGA-FB-AAQ1
653820	TCGA-FB-AAQ2-01A	98	FAM72B	TCGA-FB-AAQ2
653820	TCGA-FB-AAQ3-01A	10	FAM72B	TCGA-FB-AAQ3
653820	TCGA-FB-AAQ6-01A	13	FAM72B	TCGA-FB-AAQ6
653820	TCGA-H6-8124-01A	56	FAM72B	TCGA-H6-8124
653820	TCGA-H6-A45N-01A	17	FAM72B	TCGA-H6-A45N
653820	TCGA-H8-A6C1-01A	26	FAM72B	TCGA-H8-A6C1
653820	TCGA-HV-A5A3-01A	11	FAM72B	TCGA-HV-A5A3
653820	TCGA-HV-A5A4-01A	20	FAM72B	TCGA-HV-A5A4
653820	TCGA-HV-A5A5-01A	27	FAM72B	TCGA-HV-A5A5
653820	TCGA-HV-A5A6-01A	17	FAM72B	TCGA-HV-A5A6
653820	TCGA-HV-A7OL-01A	22	FAM72B	TCGA-HV-A7OL
653820	TCGA-HV-A7OP-01A	5	FAM72B	TCGA-HV-A7OP
653820	TCGA-HV-AA8V-01A	11	FAM72B	TCGA-HV-AA8V
653820	TCGA-HV-AA8X-01A	46	FAM72B	TCGA-HV-AA8X
653820	TCGA-HZ-7289-01A	60	FAM72B	TCGA-HZ-7289
653820	TCGA-HZ-7918-01A	27	FAM72B	TCGA-HZ-7918
653820	TCGA-HZ-7919-01A	56	FAM72B	TCGA-HZ-7919
653820	TCGA-HZ-7920-01A	23	FAM72B	TCGA-HZ-7920
653820	TCGA-HZ-7922-01A	44	FAM72B	TCGA-HZ-7922
653820	TCGA-HZ-7923-01A	30	FAM72B	TCGA-HZ-7923
653820	TCGA-HZ-7924-01A	66	FAM72B	TCGA-HZ-7924
653820	TCGA-HZ-7925-01A	42	FAM72B	TCGA-HZ-7925
653820	TCGA-HZ-7926-01A	29	FAM72B	TCGA-HZ-7926
653820	TCGA-HZ-8001-01A	17	FAM72B	TCGA-HZ-8001
653820	TCGA-HZ-8002-01A	31	FAM72B	TCGA-HZ-8002
653820	TCGA-HZ-8003-01A	34	FAM72B	TCGA-HZ-8003
653820	TCGA-HZ-8005-01A	59	FAM72B	TCGA-HZ-8005
653820	TCGA-HZ-8315-01A	30	FAM72B	TCGA-HZ-8315
653820	TCGA-HZ-8317-01A	38	FAM72B	TCGA-HZ-8317
653820	TCGA-HZ-8519-01A	36	FAM72B	TCGA-HZ-8519
653820	TCGA-HZ-8636-01A	60	FAM72B	TCGA-HZ-8636
653820	TCGA-HZ-8637-01A	134	FAM72B	TCGA-HZ-8637
653820	TCGA-HZ-8638-01A	59	FAM72B	TCGA-HZ-8638
653820	TCGA-HZ-A49G-01A	26	FAM72B	TCGA-HZ-A49G
