gene	barcode_full	expression	barcode
LINC00930	TCGA-3L-AA1B-01	0.5649	TCGA-3L-AA1B
LINC00930	TCGA-4N-A93T-01	-1.2193	TCGA-4N-A93T
LINC00930	TCGA-4T-AA8H-01	1.1031	TCGA-4T-AA8H
LINC00930	TCGA-5M-AAT4-01	-0.7873	TCGA-5M-AAT4
LINC00930	TCGA-5M-AAT5-01	-0.7342	TCGA-5M-AAT5
LINC00930	TCGA-5M-AAT6-01	-1.2193	TCGA-5M-AAT6
LINC00930	TCGA-5M-AATA-01	0.2527	TCGA-5M-AATA
LINC00930	TCGA-5M-AATE-01	-0.5884	TCGA-5M-AATE
LINC00930	TCGA-A6-2675-01	1.118	TCGA-A6-2675
LINC00930	TCGA-A6-2682-01	-1.2193	TCGA-A6-2682
LINC00930	TCGA-A6-2684-01	-1.2193	TCGA-A6-2684
LINC00930	TCGA-A6-2685-01	-0.1888	TCGA-A6-2685
LINC00930	TCGA-A6-2686-01	0.4313	TCGA-A6-2686
LINC00930	TCGA-A6-4105-01	-1.2193	TCGA-A6-4105
LINC00930	TCGA-A6-5656-01	-0.6879	TCGA-A6-5656
LINC00930	TCGA-A6-5657-01	-0.645	TCGA-A6-5657
LINC00930	TCGA-A6-5659-01	-1.2193	TCGA-A6-5659
LINC00930	TCGA-A6-5660-01	-1.2193	TCGA-A6-5660
LINC00930	TCGA-A6-5661-01	-0.4971	TCGA-A6-5661
LINC00930	TCGA-A6-5662-01	-1.2193	TCGA-A6-5662
LINC00930	TCGA-A6-5664-01	-0.4231	TCGA-A6-5664
LINC00930	TCGA-A6-5665-01	-0.1589	TCGA-A6-5665
LINC00930	TCGA-A6-5666-01	-1.2193	TCGA-A6-5666
LINC00930	TCGA-A6-5667-01	-1.2193	TCGA-A6-5667
LINC00930	TCGA-A6-6137-01	-1.2193	TCGA-A6-6137
LINC00930	TCGA-A6-6138-01	-1.2193	TCGA-A6-6138
LINC00930	TCGA-A6-6140-01	-0.783	TCGA-A6-6140
LINC00930	TCGA-A6-6141-01	1.3468	TCGA-A6-6141
LINC00930	TCGA-A6-6142-01	-1.2193	TCGA-A6-6142
LINC00930	TCGA-A6-6648-01	0.2171	TCGA-A6-6648
LINC00930	TCGA-A6-6649-01	0.1968	TCGA-A6-6649
LINC00930	TCGA-A6-6650-01	-1.2193	TCGA-A6-6650
LINC00930	TCGA-A6-6651-01	-0.797	TCGA-A6-6651
LINC00930	TCGA-A6-6652-01	-0.4589	TCGA-A6-6652
LINC00930	TCGA-A6-6653-01	0.3007	TCGA-A6-6653
LINC00930	TCGA-A6-6654-01	-0.7635	TCGA-A6-6654
LINC00930	TCGA-A6-6780-01	-1.2193	TCGA-A6-6780
LINC00930	TCGA-A6-6781-01	1.4501	TCGA-A6-6781
LINC00930	TCGA-A6-6782-01	-0.4562	TCGA-A6-6782
LINC00930	TCGA-A6-A565-01	2.7698	TCGA-A6-A565
LINC00930	TCGA-A6-A566-01	-0.242	TCGA-A6-A566
