Entrez_Gene_Id	barcode_full	expression	gene	barcode
100169752	TCGA-2W-A8YY-01A	0	TEX36-AS1	TCGA-2W-A8YY
100169752	TCGA-4J-AA1J-01A	0	TEX36-AS1	TCGA-4J-AA1J
100169752	TCGA-BI-A0VR-01A	0	TEX36-AS1	TCGA-BI-A0VR
100169752	TCGA-BI-A0VS-01A	0	TEX36-AS1	TCGA-BI-A0VS
100169752	TCGA-BI-A20A-01A	0	TEX36-AS1	TCGA-BI-A20A
100169752	TCGA-C5-A0TN-01A	0	TEX36-AS1	TCGA-C5-A0TN
100169752	TCGA-C5-A1BE-01B	0	TEX36-AS1	TCGA-C5-A1BE
100169752	TCGA-C5-A1BF-01B	0	TEX36-AS1	TCGA-C5-A1BF
100169752	TCGA-C5-A1BI-01B	0	TEX36-AS1	TCGA-C5-A1BI
100169752	TCGA-C5-A1BJ-01A	0	TEX36-AS1	TCGA-C5-A1BJ
100169752	TCGA-C5-A1BK-01B	0	TEX36-AS1	TCGA-C5-A1BK
100169752	TCGA-C5-A1BL-01A	0	TEX36-AS1	TCGA-C5-A1BL
100169752	TCGA-C5-A1BM-01A	1	TEX36-AS1	TCGA-C5-A1BM
100169752	TCGA-C5-A1BN-01B	0	TEX36-AS1	TCGA-C5-A1BN
100169752	TCGA-C5-A1BQ-01C	0	TEX36-AS1	TCGA-C5-A1BQ
100169752	TCGA-C5-A1M5-01A	0	TEX36-AS1	TCGA-C5-A1M5
100169752	TCGA-C5-A1M6-01A	0	TEX36-AS1	TCGA-C5-A1M6
100169752	TCGA-C5-A1M7-01A	0	TEX36-AS1	TCGA-C5-A1M7
100169752	TCGA-C5-A1M8-01A	0	TEX36-AS1	TCGA-C5-A1M8
100169752	TCGA-C5-A1M9-01A	0	TEX36-AS1	TCGA-C5-A1M9
100169752	TCGA-C5-A1ME-01A	0	TEX36-AS1	TCGA-C5-A1ME
100169752	TCGA-C5-A1MF-01A	3	TEX36-AS1	TCGA-C5-A1MF
100169752	TCGA-C5-A1MH-01A	0	TEX36-AS1	TCGA-C5-A1MH
100169752	TCGA-C5-A1MI-01A	1	TEX36-AS1	TCGA-C5-A1MI
