Entrez_Gene_Id	barcode_full	expression	gene	barcode
100169752	TCGA-3L-AA1B-01A	0	TEX36-AS1	TCGA-3L-AA1B
100169752	TCGA-4N-A93T-01A	0	TEX36-AS1	TCGA-4N-A93T
100169752	TCGA-4T-AA8H-01A	0	TEX36-AS1	TCGA-4T-AA8H
100169752	TCGA-5M-AAT4-01A	0	TEX36-AS1	TCGA-5M-AAT4
100169752	TCGA-5M-AAT5-01A	0	TEX36-AS1	TCGA-5M-AAT5
100169752	TCGA-5M-AAT6-01A	0	TEX36-AS1	TCGA-5M-AAT6
100169752	TCGA-5M-AATA-01A	0	TEX36-AS1	TCGA-5M-AATA
100169752	TCGA-5M-AATE-01A	0	TEX36-AS1	TCGA-5M-AATE
100169752	TCGA-A6-2671-01A	0	TEX36-AS1	TCGA-A6-2671
100169752	TCGA-A6-2672-01A	0	TEX36-AS1	TCGA-A6-2672
100169752	TCGA-A6-2674-01A	0	TEX36-AS1	TCGA-A6-2674
100169752	TCGA-A6-2675-01A	0	TEX36-AS1	TCGA-A6-2675
100169752	TCGA-A6-2676-01A	0	TEX36-AS1	TCGA-A6-2676
100169752	TCGA-A6-2677-01A	0	TEX36-AS1	TCGA-A6-2677
100169752	TCGA-A6-2678-01A	0	TEX36-AS1	TCGA-A6-2678
100169752	TCGA-A6-2679-01A	0	TEX36-AS1	TCGA-A6-2679
100169752	TCGA-A6-2680-01A	0	TEX36-AS1	TCGA-A6-2680
100169752	TCGA-A6-2681-01A	0	TEX36-AS1	TCGA-A6-2681
100169752	TCGA-A6-2682-01A	0	TEX36-AS1	TCGA-A6-2682
100169752	TCGA-A6-2683-01A	0	TEX36-AS1	TCGA-A6-2683
100169752	TCGA-A6-2684-01A	0	TEX36-AS1	TCGA-A6-2684
100169752	TCGA-A6-2685-01A	0	TEX36-AS1	TCGA-A6-2685
100169752	TCGA-A6-2686-01A	0	TEX36-AS1	TCGA-A6-2686
100169752	TCGA-A6-3807-01A	0	TEX36-AS1	TCGA-A6-3807
100169752	TCGA-A6-3808-01A	0	TEX36-AS1	TCGA-A6-3808
100169752	TCGA-A6-3809-01A	0	TEX36-AS1	TCGA-A6-3809
100169752	TCGA-A6-3810-01A	0	TEX36-AS1	TCGA-A6-3810
100169752	TCGA-A6-4105-01A	0	TEX36-AS1	TCGA-A6-4105
100169752	TCGA-A6-4107-01A	0	TEX36-AS1	TCGA-A6-4107
100169752	TCGA-A6-5656-01A	0	TEX36-AS1	TCGA-A6-5656
100169752	TCGA-A6-5657-01A	0	TEX36-AS1	TCGA-A6-5657
100169752	TCGA-A6-5659-01A	0	TEX36-AS1	TCGA-A6-5659
100169752	TCGA-A6-5660-01A	0	TEX36-AS1	TCGA-A6-5660
100169752	TCGA-A6-5661-01A	0	TEX36-AS1	TCGA-A6-5661
100169752	TCGA-A6-5662-01A	0	TEX36-AS1	TCGA-A6-5662
100169752	TCGA-A6-5664-01A	0	TEX36-AS1	TCGA-A6-5664
100169752	TCGA-A6-5665-01A	0	TEX36-AS1	TCGA-A6-5665
100169752	TCGA-A6-5666-01A	0	TEX36-AS1	TCGA-A6-5666
100169752	TCGA-A6-5667-01A	0	TEX36-AS1	TCGA-A6-5667
100169752	TCGA-A6-6137-01A	0	TEX36-AS1	TCGA-A6-6137
100169752	TCGA-A6-6138-01A	0	TEX36-AS1	TCGA-A6-6138
100169752	TCGA-A6-6140-01A	0	TEX36-AS1	TCGA-A6-6140
100169752	TCGA-A6-6141-01A	0	TEX36-AS1	TCGA-A6-6141
100169752	TCGA-A6-6142-01A	0	TEX36-AS1	TCGA-A6-6142
100169752	TCGA-A6-6648-01A	0	TEX36-AS1	TCGA-A6-6648
100169752	TCGA-A6-6649-01A	0	TEX36-AS1	TCGA-A6-6649
100169752	TCGA-A6-6650-01A	0	TEX36-AS1	TCGA-A6-6650
100169752	TCGA-A6-6651-01A	1	TEX36-AS1	TCGA-A6-6651
100169752	TCGA-A6-6652-01A	0	TEX36-AS1	TCGA-A6-6652
100169752	TCGA-A6-6653-01A	0	TEX36-AS1	TCGA-A6-6653
100169752	TCGA-A6-6654-01A	0	TEX36-AS1	TCGA-A6-6654
100169752	TCGA-A6-6780-01A	0	TEX36-AS1	TCGA-A6-6780
100169752	TCGA-A6-6781-01A	0	TEX36-AS1	TCGA-A6-6781
100169752	TCGA-A6-6782-01A	0	TEX36-AS1	TCGA-A6-6782
100169752	TCGA-A6-A565-01A	0	TEX36-AS1	TCGA-A6-A565
100169752	TCGA-A6-A566-01A	0	TEX36-AS1	TCGA-A6-A566
100169752	TCGA-A6-A567-01A	0	TEX36-AS1	TCGA-A6-A567
100169752	TCGA-A6-A56B-01A	0	TEX36-AS1	TCGA-A6-A56B
100169752	TCGA-A6-A5ZU-01A	0	TEX36-AS1	TCGA-A6-A5ZU
100169752	TCGA-AA-3488-01A	0	TEX36-AS1	TCGA-AA-3488
100169752	TCGA-AA-3489-01A	0	TEX36-AS1	TCGA-AA-3489
